age,gender,education,employment_type,years_employed,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,monthly_emi,emi_to_income,loan_to_income,loan_purpose,default
62,Male,High School,Salaried,2.0,150000.0,384026,84,15.36,794.0,0,7488.23,0.5991,2.5602,Education,0
24,Female,High School,Self-Employed,6.0,150000.0,189483,120,15.76,742.0,0,3145.81,0.2517,1.2632,Personal,0
49,Male,High School,Self-Employed,7.0,,650064,24,7.59,632.0,4,29279.23,2.3423,4.3338,Education,0
38,Male,Bachelor,Salaried,5.0,279644.0,884469,36,22.3,678.0,0,33915.7,1.4554,3.1628,Home,1
46,Female,High School,Salaried,11.0,150000.0,117445,84,17.57,678.0,1,2438.93,0.1951,0.783,Vehicle,0
64,Male,Bachelor,Business,,167233.0,427563,12,17.47,647.0,0,39091.21,2.805,2.5567,Home,0
54,Male,Master,Business,5.0,150000.0,499973,36,13.92,543.0,3,17068.47,1.3655,3.3332,Education,0
30,Male,High School,Self-Employed,7.0,639762.0,2800396,84,19.08,630.0,1,60644.2,1.1375,4.3772,Education,0
56,Male,Master,Self-Employed,10.0,150000.0,90848,60,21.24,736.0,1,2470.02,0.1976,0.6057,Personal,0
34,Male,Bachelor,Business,11.0,408315.0,1042525,120,15.67,688.0,0,17249.87,0.507,2.5532,Personal,0
51,Male,Bachelor,Self-Employed,4.0,150000.0,551442,24,16.49,750.0,3,27129.6,2.1704,3.6763,Medical,0
35,Male,High School,Salaried,8.0,153004.0,211539,60,10.94,601.0,1,4593.04,0.3602,1.3826,Vehicle,0
28,Male,High School,Salaried,4.0,150000.0,224408,24,13.33,747.0,0,10703.58,0.8563,1.4961,Vehicle,0
34,Female,Bachelor,Salaried,11.0,255617.0,691068,36,15.22,731.0,1,24030.62,1.1281,2.7035,Vehicle,0
43,Female,High School,Salaried,4.0,150000.0,672033,60,18.41,626.0,2,17215.46,1.3772,4.4802,Business,0
60,Male,High School,Salaried,7.0,150000.0,343833,12,22.87,691.0,2,32324.98,2.586,2.2922,Medical,0
41,Female,High School,Unemployed,5.0,150000.0,402028,60,9.76,626.0,3,8494.51,0.6796,2.6802,Home,0
36,Female,Bachelor,Self-Employed,3.0,150000.0,504136,48,16.23,723.0,3,14346.81,1.1477,3.3609,Home,0
38,Female,High School,Business,4.0,150000.0,284779,120,17.58,812.0,0,5054.55,0.4044,1.8985,Home,1
44,Female,Master,Self-Employed,5.0,150000.0,660283,12,21.12,697.0,1,61519.48,4.9216,4.4019,Education,0
46,Male,High School,Salaried,11.0,150000.0,724255,24,21.42,611.0,0,37365.89,2.9893,4.8284,Personal,0
45,Female,Master,Salaried,5.0,354633.0,1215108,48,18.4,654.0,0,35948.28,1.2164,3.4264,Vehicle,1
61,Male,High School,Unemployed,7.0,150000.0,505971,120,10.71,873.0,0,6886.95,0.551,3.3731,Personal,0
49,Male,Bachelor,Salaried,4.0,156487.0,552552,60,20.37,575.0,4,14753.24,1.1313,3.531,Personal,1
35,Female,Bachelor,Self-Employed,10.0,150000.0,205880,120,17.05,624.0,0,3584.67,0.2868,1.3725,Home,0
21,Male,Bachelor,Salaried,11.0,150000.0,569351,120,23.36,690.0,1,12299.94,0.984,3.7957,Home,0
45,Male,High School,Salaried,,,309209,60,23.23,796.0,1,8757.66,0.7006,2.0614,Vehicle,0
27,Female,Bachelor,Salaried,5.0,150000.0,745513,60,16.6,567.0,2,18367.95,1.4694,4.9701,Education,0
29,Female,High School,Self-Employed,4.0,192985.0,749699,60,23.07,609.0,1,21164.53,1.316,3.8848,Vehicle,0
44,Female,Bachelor,Business,3.0,150000.0,469042,84,7.92,527.0,3,7291.91,0.5834,3.1269,Vehicle,1
21,Female,High School,Self-Employed,,150000.0,690759,48,22.61,648.0,2,21992.51,1.7594,4.6051,Home,0
64,Male,Bachelor,Self-Employed,5.0,150000.0,729777,12,23.42,593.0,0,68802.74,5.5042,4.8652,Education,0
28,Male,High School,Business,10.0,150000.0,627200,84,23.65,764.0,2,15338.16,1.2271,4.1813,Education,1
44,Female,High School,Self-Employed,3.0,150000.0,585703,48,20.34,561.0,0,17929.43,1.4344,3.9047,Personal,1
31,Male,Bachelor,Business,6.0,150000.0,115943,12,10.48,793.0,1,10219.13,0.8175,0.773,Business,0
37,Female,PhD,Salaried,5.0,150000.0,551560,36,23.58,789.0,0,21517.83,1.7214,3.6771,Home,0
28,Male,Bachelor,Business,4.0,150000.0,301634,36,14.56,644.0,3,10391.37,0.8313,2.0109,Vehicle,1
55,Male,Bachelor,Self-Employed,0.0,150000.0,702691,12,15.28,478.0,2,63516.58,5.0813,4.6846,Education,1
55,Male,Bachelor,Salaried,1.0,150000.0,487940,12,7.75,719.0,1,42388.75,3.3911,3.2529,Personal,0
53,Female,Bachelor,Salaried,11.0,194109.0,420816,12,13.16,774.0,2,37617.74,2.3256,2.1679,Home,1
25,Male,High School,Salaried,3.0,150000.0,303810,120,11.74,575.0,0,4313.25,0.3451,2.0254,Medical,0
62,Male,High School,Salaried,9.0,150000.0,449511,36,14.92,623.0,1,15564.84,1.2452,2.9967,Home,0
59,Male,Master,Business,7.0,150000.0,406761,120,11.94,697.0,0,5821.74,0.4657,2.7117,Vehicle,0
61,Male,Bachelor,Self-Employed,5.0,150000.0,338840,12,14.88,637.0,0,30563.94,2.4451,2.2589,Home,0
48,Male,Bachelor,Unemployed,5.0,150000.0,215706,12,9.93,835.0,0,18956.96,1.5166,1.438,Vehicle,0
27,Male,Bachelor,Self-Employed,6.0,150000.0,612618,120,23.21,677.0,2,13171.11,1.0537,4.0841,Education,1
29,Male,Bachelor,Self-Employed,9.0,150000.0,367552,48,18.46,716.0,3,10885.39,0.8708,2.4503,Education,0
28,Male,Bachelor,Salaried,2.0,150000.0,141754,24,23.81,753.0,0,7481.25,0.5985,0.945,Home,0
32,Male,Bachelor,Self-Employed,6.0,150000.0,132647,60,7.58,540.0,1,2663.02,0.213,0.8843,Home,0
54,Female,High School,Self-Employed,8.0,326973.0,513845,60,21.29,702.0,2,13985.19,0.5133,1.5715,Vehicle,0
53,Female,Bachelor,Business,9.0,150000.0,447754,84,8.89,636.0,2,7178.98,0.5743,2.985,Personal,0
43,Male,Bachelor,Salaried,11.0,150000.0,174885,48,20.27,624.0,4,5347.0,0.4278,1.1659,Vehicle,0
44,Male,PhD,Self-Employed,6.0,150000.0,220136,120,22.72,643.0,2,4658.54,0.3727,1.4676,Vehicle,1
57,Male,Bachelor,Salaried,1.0,,413649,12,9.82,670.0,0,36331.7,2.9065,2.7577,Home,0
55,Female,Bachelor,Self-Employed,8.0,209177.0,309565,24,23.28,628.0,0,16256.01,0.9326,1.4799,Vehicle,0
64,Male,High School,Business,6.0,150000.0,654193,48,14.7,679.0,2,18107.35,1.4486,4.3613,Business,0
60,Male,High School,Self-Employed,11.0,150000.0,473255,24,13.18,593.0,0,22539.44,1.8032,3.155,Home,0
42,Female,Master,Salaried,7.0,150000.0,132932,36,20.63,760.0,0,4983.0,0.3986,0.8862,Business,0
47,Male,Bachelor,Salaried,11.0,150000.0,169422,24,21.58,660.0,3,8754.2,0.7003,1.1295,Vehicle,0
55,Female,Bachelor,Salaried,4.0,150000.0,206742,48,21.3,,0,6435.32,0.5148,1.3783,Business,1
21,Male,Bachelor,Self-Employed,11.0,201698.0,672566,120,17.8,787.0,0,12032.18,0.7159,3.3345,Home,0
55,Female,High School,Salaried,7.0,150000.0,146314,84,12.39,821.0,0,2613.46,0.2091,0.9754,Home,0
57,Male,Bachelor,Business,8.0,256186.0,177998,60,12.06,674.0,2,3964.87,0.1857,0.6948,Education,0
34,Female,High School,Salaried,0.0,157029.0,593266,120,11.27,522.0,1,8263.17,0.6315,3.7781,Vehicle,0
23,Female,Master,Salaried,11.0,357243.0,947254,36,9.92,710.0,0,30529.66,1.0255,2.6516,Medical,0
21,Male,Bachelor,Self-Employed,6.0,150000.0,647935,24,13.98,683.0,2,31103.11,2.4882,4.3196,Medical,1
25,Male,High School,Self-Employed,8.0,150000.0,610179,60,21.62,669.0,2,16720.91,1.3377,4.0679,Vehicle,0
46,Male,Master,Business,5.0,150000.0,259617,24,23.94,712.0,2,13718.46,1.0975,1.7308,Home,0
34,Female,PhD,Salaried,11.0,150000.0,204775,84,18.94,735.0,1,4417.48,0.3534,1.3652,Business,0
59,Female,High School,Salaried,7.0,157845.0,445658,24,10.08,688.0,0,20581.31,1.5647,2.8234,Home,1
47,Male,Master,Salaried,7.0,150000.0,129070,12,18.61,661.0,1,11870.64,0.9497,0.8605,Home,0
29,Female,Master,Salaried,14.0,150000.0,502181,60,12.04,747.0,1,11180.89,0.8945,3.3479,Vehicle,1
35,Male,Bachelor,Business,0.0,150000.0,83221,84,19.34,777.0,1,1815.09,0.1452,0.5548,Medical,0
35,Male,PhD,Salaried,5.0,239930.0,987065,120,11.4,812.0,2,13821.27,0.6913,4.114,Home,0
46,Female,Bachelor,Unemployed,6.0,150000.0,676220,36,10.21,738.0,0,21886.45,1.7509,4.5081,Business,0
62,Female,Bachelor,Self-Employed,3.0,161115.0,802820,36,17.97,622.0,1,29011.79,2.1608,4.9829,Personal,1
33,Male,Master,Self-Employed,8.0,268501.0,550019,36,18.8,889.0,2,20105.93,0.8986,2.0485,Business,0
52,Female,Bachelor,Unemployed,1.0,150000.0,454300,24,10.55,,0,21079.15,1.6863,3.0287,Vehicle,0
59,Female,Bachelor,Salaried,1.0,150000.0,657498,84,15.95,685.0,1,13040.55,1.0432,4.3833,Personal,0
52,Female,Bachelor,Salaried,8.0,236482.0,610035,60,22.03,,1,16858.91,0.8555,2.5796,Business,0
24,Female,Master,Self-Employed,3.0,176245.0,349258,36,18.8,698.0,4,12767.12,0.8693,1.9817,Business,0
50,Female,Bachelor,Salaried,9.0,150000.0,107956,84,18.65,900.0,0,2310.32,0.1848,0.7197,Home,0
57,Male,Bachelor,Unemployed,4.0,150000.0,340999,36,19.44,654.0,2,12575.66,1.0061,2.2733,Business,0
43,Female,Bachelor,Unemployed,3.0,150000.0,128251,120,13.28,636.0,1,1936.16,0.1549,0.855,Home,0
59,Male,High School,Business,3.0,169290.0,361177,84,10.9,712.0,0,6165.26,0.437,2.1335,Personal,0
35,Female,High School,Business,3.0,150000.0,306546,24,19.6,624.0,0,15542.07,1.2434,2.0436,Vehicle,0
63,Male,Bachelor,Self-Employed,5.0,150000.0,511847,48,20.9,788.0,0,15822.18,1.2658,3.4123,Personal,1
49,Female,Bachelor,Self-Employed,3.0,169980.0,365005,84,22.28,627.0,2,8613.8,0.6081,2.1473,Home,0
56,Male,Master,Salaried,6.0,150000.0,334315,36,20.62,733.0,1,12530.21,1.0024,2.2288,Vehicle,0
33,Male,Bachelor,Self-Employed,0.0,150000.0,268286,60,13.21,728.0,0,6133.21,0.4907,1.7886,Home,0
52,Male,Master,Salaried,3.0,150000.0,485387,36,15.21,729.0,4,16876.06,1.3501,3.2359,Home,0
27,Female,High School,Business,11.0,155093.0,349281,24,20.37,763.0,2,17840.13,1.3803,2.2521,Education,1
42,Female,PhD,Unemployed,1.0,150000.0,715296,48,16.37,629.0,0,20407.49,1.6326,4.7686,Home,0
48,Male,High School,Salaried,4.0,150000.0,677080,48,16.69,696.0,2,19428.75,1.5543,4.5139,Personal,0
22,Female,Bachelor,Salaried,11.0,181673.0,284522,120,23.05,659.0,2,6085.71,0.402,1.5661,Vehicle,0
62,Female,Bachelor,Salaried,6.0,150000.0,347681,60,23.3,791.0,2,9861.31,0.7889,2.3179,Personal,0
26,Female,Bachelor,Self-Employed,0.0,,555157,84,20.06,714.0,2,12347.99,0.8956,3.3556,Medical,1
48,Male,High School,Self-Employed,9.0,150000.0,86010,48,20.86,837.0,0,2656.89,0.2126,0.5734,Personal,0
48,Female,High School,Self-Employed,11.0,246237.0,375105,84,11.86,806.0,2,6593.58,0.3213,1.5233,Home,0
64,Female,Bachelor,Business,6.0,150000.0,267395,36,17.3,589.0,3,9573.33,0.7659,1.7826,Vehicle,1
64,Female,Bachelor,Salaried,4.0,150000.0,346617,84,15.39,675.0,1,6764.65,0.5412,2.3108,Business,0
40,Female,PhD,Self-Employed,0.0,,675285,12,8.18,698.0,2,58798.2,4.7039,4.5019,Vehicle,0
50,Female,Bachelor,Self-Employed,5.0,150000.0,140020,24,22.08,670.0,1,7269.51,0.5816,0.9335,Education,0
31,Female,PhD,Salaried,2.0,196391.0,156376,36,12.38,636.0,1,5222.35,0.3191,0.7962,Home,0
48,Male,High School,Salaried,6.0,150000.0,523482,84,22.87,667.0,1,12545.78,1.0037,3.4899,Medical,0
45,Male,High School,Business,10.0,150000.0,321033,36,18.0,732.0,1,11606.11,0.9285,2.1402,Home,0
59,Male,Bachelor,Unemployed,3.0,150000.0,194961,24,20.92,752.0,0,10010.54,0.8008,1.2997,Personal,1
53,Male,Master,Self-Employed,9.0,150000.0,548718,24,15.07,601.0,1,26623.75,2.1299,3.6581,Home,0
21,Female,Bachelor,Business,0.0,150000.0,238984,36,10.59,563.0,1,7777.71,0.6222,1.5932,Medical,0
47,Female,High School,Salaried,6.0,150000.0,456806,48,21.93,587.0,1,14374.81,1.15,3.0454,Education,0
33,Female,High School,Unemployed,0.0,162324.0,379741,60,20.41,677.0,1,10147.64,0.7502,2.3394,Business,1
61,Male,Bachelor,Salaried,7.0,150000.0,318820,36,19.95,698.0,0,11840.37,0.9472,2.1255,Home,0
23,Male,Bachelor,Salaried,11.0,150000.0,561770,12,11.01,700.0,1,49652.78,3.9722,3.7451,Business,0
59,Male,Bachelor,Salaried,5.0,150000.0,489051,36,16.11,653.0,0,17220.15,1.3776,3.2603,Business,0
26,Male,Bachelor,Business,7.0,150000.0,421843,84,12.82,665.0,2,7632.93,0.6106,2.8123,Education,0
28,Male,Bachelor,Salaried,4.0,150000.0,161457,12,17.61,562.0,0,14772.43,1.1818,1.0764,Home,0
47,Female,Master,Salaried,8.0,150774.0,472734,120,16.29,,0,8004.56,0.6371,3.1354,Education,0
29,Male,Bachelor,Salaried,10.0,150000.0,542607,36,10.43,736.0,1,17618.15,1.4095,3.6174,Vehicle,0
57,Female,Bachelor,Salaried,6.0,150000.0,624989,120,17.79,663.0,0,11177.02,0.8942,4.1666,Home,1
53,Male,PhD,Salaried,4.0,150000.0,277098,36,8.13,,2,8699.87,0.696,1.8473,Home,0
62,Female,Bachelor,Self-Employed,8.0,150000.0,253410,12,8.67,823.0,2,22122.32,1.7698,1.6894,Medical,0
64,Female,Bachelor,Salaried,14.0,293518.0,1135761,60,10.52,609.0,1,24423.19,0.9985,3.8695,Personal,0
44,Female,Master,Salaried,8.0,150000.0,390531,12,17.05,696.0,0,35627.55,2.8502,2.6035,Personal,0
35,Female,High School,Salaried,1.0,150000.0,348952,60,20.03,711.0,1,9250.92,0.7401,2.3263,Home,0
52,Female,Bachelor,Salaried,14.0,155752.0,190452,120,20.41,802.0,2,3732.51,0.2876,1.2228,Education,0
52,Female,High School,Salaried,3.0,150000.0,368054,60,12.06,673.0,0,8198.32,0.6559,2.4537,Home,0
44,Female,High School,Self-Employed,3.0,187648.0,706977,12,13.84,710.0,3,63424.22,4.0559,3.7676,Home,0
61,Male,High School,Salaried,11.0,150000.0,379122,84,11.36,642.0,3,6563.48,0.5251,2.5275,Personal,1
32,Male,High School,Salaried,5.0,150000.0,664093,24,8.1,,0,30065.42,2.4052,4.4273,Education,0
59,Male,Bachelor,Self-Employed,8.0,150000.0,77841,12,15.67,669.0,1,7050.43,0.564,0.5189,Personal,0
22,Female,Master,Self-Employed,8.0,150000.0,196477,24,16.49,771.0,0,9666.19,0.7733,1.3098,Education,0
23,Male,Bachelor,Salaried,8.0,150000.0,489866,84,22.93,755.0,2,11758.48,0.9407,3.2658,Home,0
57,Female,Bachelor,Salaried,12.0,150000.0,528587,84,19.25,625.0,2,11500.37,0.92,3.5239,Home,0
37,Female,Bachelor,Salaried,5.0,150000.0,261098,84,22.92,712.0,0,6265.63,0.5013,1.7407,Home,1
22,Male,Master,Salaried,7.0,150000.0,710776,120,12.11,698.0,1,10242.82,0.8194,4.7385,Home,0
22,Male,Master,Salaried,3.0,150000.0,298184,84,19.46,667.0,0,6524.92,0.522,1.9879,Vehicle,1
48,Female,Master,Salaried,9.0,150000.0,352553,120,17.37,577.0,3,6210.19,0.4968,2.3504,Home,1
43,Male,Master,Salaried,7.0,150000.0,734055,36,12.4,702.0,0,24521.61,1.9617,4.8937,Vehicle,1
57,Female,High School,Self-Employed,12.0,150000.0,398453,24,10.98,716.0,3,18567.33,1.4854,2.6564,Home,1
52,Male,Bachelor,Business,8.0,150000.0,488685,120,12.3,660.0,1,7096.22,0.5677,3.2579,Vehicle,0
53,Female,Bachelor,Self-Employed,13.0,150000.0,439620,48,23.66,657.0,2,14249.91,1.14,2.9308,Education,0
21,Male,Bachelor,Self-Employed,6.0,150000.0,194815,36,7.88,833.0,1,6094.02,0.4875,1.2988,Vehicle,0
39,Female,Bachelor,Salaried,7.0,150000.0,744263,120,22.43,650.0,1,15602.17,1.2482,4.9618,Vehicle,0
22,Female,High School,Salaried,7.0,150000.0,114874,36,20.23,763.0,4,4282.6,0.3426,0.7658,Personal,0
64,Male,High School,Salaried,4.0,150000.0,738859,24,16.47,659.0,2,36342.98,2.9074,4.9257,Personal,1
46,Male,Master,Self-Employed,0.0,150000.0,390897,24,21.66,686.0,0,20213.44,1.6171,2.606,Vehicle,0
52,Male,Bachelor,Self-Employed,7.0,150000.0,202984,48,8.36,662.0,0,4989.81,0.3992,1.3532,Education,0
26,Female,High School,Business,0.0,150000.0,187678,36,16.48,677.0,1,6642.76,0.5314,1.2512,Home,1
52,Female,High School,Salaried,8.0,150000.0,517516,24,12.21,590.0,1,24412.06,1.953,3.4501,Vehicle,1
24,Male,Bachelor,Salaried,11.0,150000.0,554795,12,7.66,744.0,0,48173.57,3.8539,3.6986,Vehicle,0
31,Male,Bachelor,Self-Employed,6.0,150000.0,681618,60,17.71,639.0,0,17201.27,1.3761,4.5441,Home,0
37,Male,Bachelor,Self-Employed,8.0,238993.0,373865,84,18.35,579.0,1,7934.72,0.3984,1.5643,Home,1
58,Female,High School,Salaried,8.0,150000.0,367417,60,17.25,761.0,1,9180.72,0.7345,2.4494,Home,0
44,Female,High School,Self-Employed,10.0,296705.0,1445061,24,13.94,810.0,0,69340.59,2.8044,4.8704,Business,0
25,Male,Bachelor,Salaried,6.0,211269.0,512541,120,20.77,,1,10168.21,0.5776,2.426,Personal,0
54,Female,Bachelor,Self-Employed,2.0,150000.0,385217,48,13.16,705.0,2,10365.02,0.8292,2.5681,Home,0
26,Female,High School,Salaried,0.0,150000.0,269758,24,17.47,757.0,1,13398.45,1.0719,1.7984,Personal,0
42,Female,Bachelor,Self-Employed,5.0,150000.0,662892,48,23.93,612.0,1,21585.85,1.7269,4.4193,Vehicle,1
31,Female,Bachelor,Self-Employed,0.0,150000.0,321794,36,21.46,699.0,0,12199.75,0.976,2.1453,Education,0
36,Female,Master,Unemployed,7.0,180932.0,607919,12,18.13,788.0,4,55771.63,3.699,3.3599,Vehicle,1
53,Female,High School,Business,8.0,175742.0,232277,36,18.62,687.0,1,8469.79,0.5783,1.3217,Medical,0
29,Male,Bachelor,Salaried,4.0,150000.0,490626,120,21.38,656.0,1,9934.79,0.7948,3.2708,Vehicle,1
26,Female,PhD,Salaried,9.0,217333.0,1022082,12,10.4,689.0,0,90047.5,4.972,4.7028,Home,0
36,Male,Master,Salaried,7.0,200928.0,802856,48,9.32,616.0,2,20101.32,1.2005,3.9957,Vehicle,0
49,Male,Master,Salaried,4.0,193055.0,155335,24,11.14,809.0,0,7249.93,0.4506,0.8046,Medical,0
23,Male,Bachelor,Salaried,5.0,150000.0,502925,24,19.78,758.0,0,25542.75,2.0434,3.3528,Home,0
40,Female,High School,Salaried,12.0,150000.0,452104,24,20.2,726.0,2,23054.39,1.8444,3.014,Vehicle,0
56,Male,Bachelor,Self-Employed,0.0,150000.0,303537,24,7.97,693.0,1,13724.0,1.0979,2.0236,Business,0
39,Male,Bachelor,Salaried,6.0,150000.0,643824,36,8.49,667.0,0,20320.96,1.6257,4.2922,Education,1
46,Male,Bachelor,Salaried,7.0,195113.0,792682,36,23.7,630.0,2,30974.45,1.905,4.0627,Business,0
23,Male,Bachelor,Self-Employed,,150000.0,512809,48,15.62,608.0,1,14433.54,1.1547,3.4187,Home,0
39,Male,Bachelor,Self-Employed,4.0,150000.0,577322,12,16.34,772.0,0,52473.85,4.1979,3.8488,Home,0
